,Subject,date_published,verified,review_text,type_of_traveller,seat_type,route,date_flown,value_for_money,recommended,aircraft,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,inflight_entertainment,wifi_&_connectivity
42,south-african-airways,2019-01-14 00:04:00,True,"Cape Town to George. I have never come across a more unprofessional, inefficient airline in my life. After having unplanned surgery days before my flight, I couldn't make my flight. As a result, (and including the travel insurance which I bought) I could not change my flight without paying the fee of the flight again and could not cancel my flight and get a refund on my booking. After calling in and being on hold, I spoke to an extremely rude woman who did not understand and could not answer my basic questions. I was told that if I were a gold-card member that I would be able to change my flight but as I am just an economy member, there is nothing they can do for me. After asking to speak to a manager I was put on hold for 30 minutes and eventually decided to write this review.",Solo Leisure,Economy Class,Cape Town to George,April 2019,1.0,no,,,,,,,
43,south-african-airways,2019-01-06 00:03:00,True,Sao Paulo to Hong Kong via Johannesburg. I had a okay flight from São Paulo to Johannesburg even tho the food experience was not good at all.  My flight from Johannesburg to Hong Kong was canceled after we waited 3 hours inside of the plane for technical problems fixing. Apparently the aircraft had less then 50% air pressure and it was insufficient to a flight over 12 hours. We had to wait inside of the airplane for 3 hours (without airconditioning) just so they end up telling us that the flight is cancelled and we would flight the next day. They provided hotel but my flight was over 24 hours after. They could have changed aircraft or being nicer to costumers that were in the delayed flight. Instead I had to keep calling them for information about when I would flight and got very rude attitude from the staff  (I wanted to upgrade my flight from economy to business due to being 6 months pregnant). They were not willing to help and were very inefficient even tho I was paying for the upgrade. The last problem was that I had a connecting flight in HK and they said they were unable to check my luggage straight to the final destination so I would have to check out in HK get my luggage and check in again with the spare time of 1 hours between flights.,Solo Leisure,Business Class,Sao Paulo to Hong Kong via Johannesburg,March 2019,3.0,no,,3.0,3.0,2.0,2.0,,
44,south-african-airways,2019-01-04 00:03:00,True,"Flew New York City to Johannesburg. Overall I could not have been more disappointed in this flight and airplane. For a 15 hour flight, the majority of the headphones jacks did not work and there was no option to use different headphones. There was no way to charge devices and no offer of internet (even at a charge). The crew was incredibly rude. We asked for water when they were serving coffee and got a strong eye roll even though water was on their cart. It was very disheartening. The food was packaged months ago and the majority of it made me nauseous from the smell. The only benefit to this flight was the cost however next time we will be paying the extra to fly Delta from Atlanta. It is time for South African Airways to update this plane or to only use it for shorter trips. It is just simply too out of date for this time of trip and is not fair to customers.",Couple Leisure,Economy Class,New York City to Johannesburg ,March 2019,3.0,no,A340-600,3.0,1.0,1.0,2.0,1.0,
45,south-african-airways,2019-01-25 00:02:00,True,"Johannesburg to Perth was a mirror image of of the outbound. Hardly surprising since it was the same aircraft. Friendly crew and everything pretty much on the dot. Improvements? Firstly the quality of F & B. Par for the course but what about adding say a fiery Durban chicken curry to the mix? Something which says South Africa. Secondly the IFE is a bit dismal. It works and has a choice of viewing but its old. Thirdly, new aircraft. The A340 is a favourite but showing its a bit dated. A shiny 330, 350 or 789 would really elevate the experience. If not then refurbish the interiors. SAA is a solid airline but not yet up there with the Asian carriers. A word on OR Tambo airport in Johannesburg. I fell in between alliances. Im One World with Emerald status but flying Star Alliance (having insufficient status there). So the Emirates and SAA lounges were off limits, the Aspire lounge was pay as you go and so ended up at the Shongolo lounge which Qantas uses. Its ok as a place to shower up and sit. OR Tambo airport is terrible for seating if not in a lounge. Overall and being born in SA and a regular visitor, the whole experience was like Africa: chaotic in part, colourful but it will get you there eventually.",Business,Economy Class,Johannesburg to Perth,February 2019,5.0,yes,A340 -300e,3.0,4.0,3.0,3.0,3.0,
46,south-african-airways,2019-01-25 00:02:00,True,"Perth to Johannesburg. This was by far the most economic way to get to Johannesburg from Sydney. Qantas, my usual rise, was roughly double for direct service. Flying to Perth first with Virgin meant all my check in and boarding cards were issued in Sydney. Not having any checked baggage meant a clean passage through from Sydney to Johannesburg. Flight to Perth was fine, nice shiny A330-300 and typical Virgin cheerfulness. Now the SAA experience. Perth airport, Terminal 1, is a dismal place for an international departures terminal. Being a Qantas FF meant little and could not enter the lounge there run by Qantas but for other airlines. The lack of F & B amenity is simple to explain: Perth is not a major destination for international airlines. It is linked to the rest of the world with Emirates, Cathy I assume and Singapore airlines plus a few others. The boarding process was fine, seat was comfortable and a smooth ride. One single meal service in the evening which I declined having had something at the terminal (a burger and chips fills the gap). No snacks or refreshment between meals. Breakfast I usually avoid and so it was the case here. Smooth landing and into Johannesburg at 4.30 am. Out of the terminal doors by 4.55am. SAA are remind me a bit of British Airways. Good in parts, not so good in others and they get you there safely. It would be nice if they could have a little bit more of Africa in their overall experience.",Business,Economy Class,Perth to Johannesburg,February 2019,5.0,yes,A340-300,4.0,4.0,3.0,5.0,3.0,
47,south-african-airways,2019-01-21 00:02:00,True,"London to Cape Town via Johannesburg. Bearing in mind previous reviews it was with some trepidation that we boarded SA235 on 5 Feb. However we were very pleasantly surprised. The flight took off only 5 minutes late and arrived 30 minutes early. The plane was pretty new, the cabin was bright, cheery and the crew friendly and cheerful with great uniforms. Great food too and a proper breakfast not a cereal bar! Sadly the whole experience knocked BA in to a cocked hat. The onward flight to CPT was in an older plane but still on time and we had no complaints other than in the new A330-300s the seats are a bit hard and the tray tables ridiculously small! However we would certainly fly SAA again.",Couple Leisure,Economy Class,London to Cape Town via Johannesburg ,February 2019,4.0,yes,A330-300 / A340-600,3.0,4.0,4.0,4.0,4.0,4.0
48,south-african-airways,2019-01-21 00:02:00,False,"Port Elizabeth to London via Johannesburg. Another excellent journey. Both flights on time, both planes almost new with bright cabins, great crew and great food. SAA are a revelation compared to BA.",Couple Leisure,Economy Class,Port Elizabeth to London via Johannesburg ,February 2019,4.0,yes,A320 / A330-300,3.0,4.0,4.0,4.0,4.0,4.0
49,south-african-airways,2019-01-17 00:01:00,True,"Johannesburg to New York. We followed the normal reporting process and e-mailed SAA two weeks ago with no response. We reserved 3 seats for the trip going to New York and our return flight back to JHB. Before boarding this flight I phoned SAA and raised my concerns about on board entertainment systems being faulty which were laid to rest by your call centre lady saying I must request the ground staff to check entertainment systems before we take off to see if our systems are working so if there are technical problems they can be sorted before the plane hits the runway then it would be too late. This however did not prove to be factual at all. Once at the terminal the staff on the plane were rude and told us the systems could not be checked until the plane was in the air. So we sat back and waited hoping all would be okay until the emergency demonstration had been done and the entertainment systems started getting switched on then we started to see the overhead lights coming on one after the other. At this time we were still trying to figure out how to pull our entertainment systems from under our seats. With our luck Seat 45D had a picture but no sound. Seat 45E and 45F no picture or sound. So we complained with the other 20 or odd passengers at the time so they announced they were going to reboot the system. This happened twice. No change. The plane was not full so they started to move passengers around to seats to where there were screens to see if they could find available entertainment. My friend was moved twice and then gave up due to not being successful and came back to her seat next to me. The air was so hot where we were sitting we could not take it another minute so we called the air hostess who said she could not understand why it would only be our row. She came back later and said afterwards that there was a distinct temperature difference between the rest of the plane and our section and she would try and resolve it for us. She was very apologetic and accommodating. We were hoping that our return flight would be on a different plane as we checked and saw SAA has a few of these planes on their fleet and thought the likelihood of getting such bad luck a second time running in one trip would be unheard of. So we still went for the extra legroom and kept our reserved seats that we paid the additional R750.00 per person for, and lo and behold on flight SA204 departing from New York the seats I reserved again this time no sound no picture And a sweat box for the full flight.",Couple Leisure,Economy Class,Johannesburg to New York,January 2019,1.0,no,A340,1.0,2.0,2.0,1.0,1.0,1.0
50,south-african-airways,2019-01-16 00:01:00,True,"Johannesburg to Lodon. We booked the flight and also made advanced seat selection seats 55H and 55 K (more leg space) on 3d of August. Reason is that I am 1,90 m long. On the flight SA 234 on Friday the 11th from Johannesburg the airline has changed the type of airplane. They did not inform us before by e-mail, WhattApp, on there own SA-APP and also not at the counterdesk where we put our luggage. Therefore we paid for nothing and other people were sitting The staff of SA in the plain didn't do anything to help us and only said you can get your extra seat costs back at the counter in London.We didn't have a chance to upgrade or change our seats. We could not go to the counter because we had a connecting flight 1 hour later to Schiphol Amsterdam.It was very disappointed. I have sent an e-mail to SA customer services directly but did not receive any reply till now. On top of that a staffmember suddenly came in the plane with a insectide in aerosol and sprayed us all. It was a disaster. Total no feeling to the client. I shall not recommend SAA to anybody.",Couple Leisure,Economy Class,Johannesburg to Lodon,January 2019,1.0,no,A340,1.0,1.0,2.0,1.0,2.0,1.0
51,south-african-airways,2019-01-10 00:01:00,False,"We’ve heard a lot of bad reports about SAA. Nothing could be further from the truth. We left Perth at 23:45 yesterday and am now in Johannesburg awaiting a connecting flight to Cape Town. We left and arrived on time.Had a good dinner & breakfast,  not haute cuisine but very edible. Found that stewards were very attentive and quite free with the beverages and they were friendly. Had economy seats that gave a good deal of legroom, enough films to keep you occupied.  What more can there be to this business. Well done SAA",Couple Leisure,Economy Class,Perth to Johannesburg,January 2019,4.0,yes,,4.0,5.0,4.0,4.0,4.0,
52,south-african-airways,2019-01-03 00:01:00,True,"Harare to Cape Town via Johannesburg. My flight from Harare was delayed by 20mins, In Johannesburg I was suppose to get my bags for security check but i waited for my bags at e carousel for 15mins or so but could not find my bags and i had to connect again for my flight to cape Town in less than an hour. I boarded without my bags and I was told to check on the carousel if i dont get them or i shloud go on the SAA baggage desk in Cape Town which i did. They were very helpful. They managed to locate my bags and they were sent on the next flight from Johannesburg to Capetown that very day and i was asked if i wanted to collect my bags at the airport or to be delivered at home. I chose to be delivered at home which they did. I got my bags everything was there and perfect. Thank you SAA for your service.",Family Leisure,Economy Class,Harare to Cape Town via Johannesburg,January 2019,4.0,yes,,4.0,4.0,4.0,4.0,,
53,south-african-airways,2018-01-25 00:12:00,True,"Johannesburg to Perth with South African Airways. The flight attendants were very friendly. They have a good sense of humor and are fun to talk to. The only thing was that they were barely seen after dinner and we had no snack service. The food was on point. The IFE had a surprisingly good selection of movies. The seats have really been worn down and look very tired. Besides those few problems, the flight was perfect.",Solo Leisure,Economy Class,Johannesburg to Perth,November 2018,4.0,yes,A340-600,2.0,4.0,4.0,4.0,5.0,
54,south-african-airways,2018-01-18 00:12:00,False,São Paulo to Perth via Johannesburg. The flight from São Paulo to Johannesburg was okay with good service. Entertainment is poor due to the size of the TV monitor. The second flight from Johannesburg to Perth could have been better. The flight attendants served dinner quickly and soon all the lights were off although there was a lot of turbulence. The entertainment is really poor and the cabin layout is not very modern.,Couple Leisure,Business Class,São Paulo to Perth via Johannesburg,November 2018,2.0,no,,3.0,3.0,3.0,3.0,1.0,
55,south-african-airways,2018-01-18 00:12:00,True,"Johannesburg to Hong Kong. I am not having a pleasant experience due to this flight SA286. Boarding was on time but then, with all passengers on board, flight was delayed by almost an hour with sketchy explanations from the cabin crew to start. Eventually after simmering in the plane for too long, the pilot tells us that the reason why we haven't taken off is because it is too hot! Needs to be 27° to fly and it was still 28° - if it was too hot then I feel it is inhumane to load us in and make us wait in the sweltering plane for an hour before taking us on our 12 hour flight. Surely they could have explained that upfront and adjusted the boarding time accordingly? Then the inflight entertainment system was faulty, but luckily after 2 restarts equating to over another hour, it worked alright again for the rest of the trip. There is no cellphone charging for economy class - I thought that was standard these days, particularly if there was going to be the threat of no inflight entertainment. In the morning, one toilet sink was over-flowing. Approaching Hong Kong, they  had to apologise for the lack of arrival cards for passengers! Due to the delay, I have missed my connecting flight which was supposed to be at 2pm and can only go at 5.45pm now.",Solo Leisure,Economy Class,Johannesburg to Hong Kong,December 2018,1.0,no,,1.0,1.0,1.0,2.0,1.0,
56,south-african-airways,2018-01-17 00:12:00,True,"Johannesburg to Hong Kong. Firstly, the service on the plane is atrocious. The hostesses ignore you or are very rude, they do not cater for special meals - if you are vegetarian there is a good chance you won't get a meal. Three quarter of the way into the flight they ran out of water. 30 minutes into our flight our screens were not working and we informed an air hostess who said it will be re set. We fell asleep and 8 hours into the flight our screens were still not working - should this not have been addressed and fixed as soon as we informed the air hostess it was not working? Also, my headphone jack was faulty. I told cabin staff and was informed by him that there is nothing he can do about it and walked away. It was a very uncomfortable flight and I would not recommend anyone to fly internationally with SAA.",Couple Leisure,Economy Class,Johannesburg to Hong Kong,December 2018,1.0,no,A340-300,2.0,1.0,1.0,1.0,1.0,
57,south-african-airways,2018-01-17 00:10:00,True,"Livingstone to Johannesburg. My 40th flight on SAA in the last 15 months or so, and I must say this was the best crew I’ve had to date. Flawless service, engaging purser, the Captain even made his announcement in German as there were Germans on board. SAA has challenges, but once up in the air, their service is consistently good, and a positive attitude from all the crew.",Business,Business Class,Livingstone to Johannesburg,October 2018,3.0,yes,A320,4.0,5.0,4.0,3.0,,
58,south-african-airways,2018-01-17 00:10:00,True,"Johannesburg to Cape Town. I have not travelled on SAA for a while, and I was a bit apprehensive of using them having read some reports on this site. Check in was by machine in JNB. The first contact with SAA staff was in the JNB domestic lounge. Lounge facilities were fine, comfortable seating and good selection of refreshments on hand at the time of visit. (lunchtime) Boarding at the gate commenced slightly early, perhaps due to the bussing requirement to the remote stand where the aircraft was parked. On board staff advised that the aircraft was only 8 months old. After departure drinks and lunch were served, chicken or beef being the main course choice. Arrival in CPT was on time. Very impressed with the service on this short flight.",Couple Leisure,Business Class,Johannesburg to Cape Town,October 2018,4.0,yes,A330,4.0,5.0,4.0,4.0,,
59,south-african-airways,2018-01-05 00:10:00,True,"Perth to Johannesburg. My first time on South African Airways and returning to Africa after leaving 50 years ago. There is a saying 'TIA', This is Africa. So it proves with SAA in parts. The aircraft is well used. Old style armchair seating with ample legroom but pretty old. The IFE was vintage. A smooth flight over. The FA's were friendly but swift and once the meal service was done were not seen until the morning. No snacks during the night or anything like a midnight walk through. Get the PAX fed and to sleep was the motto. For a 11 hour flight it was fine but SAA lag behind likes of Qantas and the ME3 on long haul. Had a short haul SAA from Johannesburg to Cape Town and they were fine. Much like all other carriers. Happy to fly them again.",Business,Economy Class,Perth to Johannesburg,August 2018,4.0,yes,A340,4.0,3.0,3.0,4.0,2.0,
60,south-african-airways,2018-01-22 00:09:00,True,"Munich to Johannesburg.Having read some recent reviews about SAA on Skytrax, I was a bit apprehensive about flying SAA. I booked Economy, but put in a bid for an upgrade to business and the offer was accepted. Business class configuration on the older A330-200 aircraft looks a bit dated, compared to the product on other airlines and newer aircraft, but the seat reclined to a 180 degrees flat seat. The bedding was comfortable. Lavatories were clean.The cabin crew was very attentive. Four meals options were available, with dessert and cheese selections. Wine selection from selection of South African vinyards.All meals served on porcellan. Breakfast is a choice of continental, full english, or fruit salad and cereals. Cabin lights were dimmed immediately after meal service, so that seats could be reclined for sleeping. Those who wanted breakfast were woken an hour before landing. On schedule arrival in JNB. All in all a very pleasant flight, even if the aircraft used was beginning to feel it's age a bit.",Business,Business Class,Munich to Johannesburg,September 2018,5.0,yes,A330-200,4.0,5.0,4.0,4.0,3.0,
61,south-african-airways,2018-01-17 00:09:00,True,"Johannesburg to New York. During flight entertainment system was out of order which made this 15 hours journey extremely unpleasant. In addition air temperature in the cabin was very high and crew were unable to adjust it to the comfortable level.  Looks like this aircraft if very old and never was refurbished. One can experience bad service, unpleasant situation, delay or break down during air travels. It happened to me on quite a few occasions but every time carrier involved responded to complain and at least apologised, promising improvements. Unfortunately this is not how SAA works. My complaint remains unanswered for over 2 months.",Family Leisure,Economy Class,Johannesburg to New York,June 2018,2.0,no,A340-600,2.0,3.0,2.0,3.0,1.0,
62,south-african-airways,2018-01-10 00:09:00,True,"London to Harare via Johannesburg. Depart Heathrow on time, plane full to Johannesburg no spare seats. Served dinner then breakfast both of which were standard fare. Landed in Johannesburg on time then bussed to remote stand in Joburg - flight to Harare again plane full, served a hot brunch type meal and arrived on time. Cabin crews on both flights seemed efficient. Return flight from Harare to Johannesburg again full - SAA seem to fill their flights and yet manage to serve a meal on the 90 minute hop from Harare to Johannesburg. Johannesburg to London on another totally full flight, despite online booking and seat selection I was allocated a middle seat -complained at check in and ended up in an aisle seat at the back of the plane. Departed on time and evening meal served - a sort of tepid beef stew, after which all the blinds came down and lights turned off - announcement was ""so that we can unwind and relax"" but on the outward flight same procedure of blinds down ""for security reasons"" - translated these both mean dont bother the crew. Seats are hard and narrow so sleep is difficult. Breakfast served before arrival. To be fair they provide meals instead of cereal bars etc and this is appreciated .",Business,Economy Class,London to Harare via Johannesburg,August 2018,4.0,yes,A330 / A319,2.0,3.0,3.0,3.0,2.0,
63,south-african-airways,2018-01-04 00:09:00,True,"New York to Johannesburg. South African Airways was not my first choice for this trip to New York. Based on my previous experiences with them, I had explored other alternatives with a superior product (Qatar, Emirates and several EU carriers), but SAA is the only airline serving JFK non stop out of Johannesburg and I could not afford traveling 1-2 days vs the 15h direct flight. Having flown to and back from New York with them last week, I regret my choice for the following reasons:  Airport services: OKish, uneventful check-in and boarding experience. SAA flies their old A340 600 to New York. Even though I purchased an emergency exit seat on both legs (45D, 45F resp) and had a very decent legroom, the experience was not pleasant as the seats were hard as a rock (even with lumbar support and additional pillows) and the aircraft clearly showed its age and it felt like its interior was falling apart.  Inflight Entertainment more than half of the passengers travelling on my row complained about technical issues with their IFE system. Some of them simply didn't work, others like mine worked but with lag and poor sound. Not great when you have a 15h flight ahead of you. Cabin crew service: I did see a slight improvement vs. previous flights as crew seemed a bit nicer and more customer oriented. Don't think I would fly them again for such a long route again and will rather increase travel time by flying EU or Middle East carriers.",Couple Leisure,Economy Class,New York to Johannesburg,September 2018,3.0,no,A340 600,1.0,3.0,3.0,3.0,1.0,
64,south-african-airways,2018-01-17 00:07:00,True,On flight SA 208 from Washington to Johannesburg we had the situation where the inflight entertainment did not work on my wife's seat (61G) after travelling the week before to JFK without any inflight entertainment for all passengers. The flight was full and the attendants could not move my wife to another seat. They were rude and unhelpful.  During the night I only saw the attendant on duty came around with water once.  A very unpleasant flight.,Family Leisure,Economy Class,Washington to Johannesburg  via dakar,July 2018,2.0,no,,2.0,1.0,1.0,3.0,1.0,1.0
65,south-african-airways,2018-01-17 00:07:00,True,"On Flight SA203 to JFK New York 21 June 2018  the entertainment etc was not working. Not only our family of five but all the passengers on the flight. The staff did not know how to resolve the problem, served dinner and vanished leaving one staff member in the galley who I did not see once came round to offer water. The staff emerged again for breakfast service and advised us to take the matter further with customer services from SAA. We reported the incident, got a reference number and not even an apology since.",Family Leisure,Economy Class,Johannesburg to New York JFK,June 2018,3.0,no,,2.0,2.0,1.0,3.0,1.0,1.0
66,south-african-airways,2018-01-31 00:03:00,True,"London Heathrow to Gaborone via Johannesburg. Outbound A330-200 oldish aircraft with narrow uncomfortable seats - take a cushion - seats are hard. Plane was full. Had an aisle seat. Cabin crew efficient and evening meal was quite good - better than some airlines serving this route. Cabin crew virtually disappeared after evening meal but reappeared with breakfast 2 hours before landing. Again breakfast was good. Plane arrived late due to slightly late departure and traffic control strike over France. On to Gaborone with SA express - short hop and a bouncy landing. Return trip SA express from Gaborone to Johannesburg - Bombardier CJ70. On time. Depart Johannesburg Airbus 330-200, plane nearly full. Pilot announced that this aircraft was brand new - certainly seats were better than the outward flight - seemed more comfortable and a little more room. Had seat 62 C aisle seat. Evening meal did not match the outward flight - hake and rice and quite tepid. Breakfast again served - SAA serve two full meals per long flight, unlike some others where you get an evening meal and a cereal bar in the morning. Some of our local airlines take note! Landed on time and a nice flight overall.",Business,Economy Class,London Heathrow to Gaborone via Johannesburg,March 2018,4.0,yes,A330,4.0,3.0,3.0,4.0,3.0,
67,south-african-airways,2018-01-18 00:03:00,True,"Flew Johannesburg to London Heathrow. I have read many bad reviews of South African Airways so I was pleasantly surprised with our experience on board. Economy seats were comfortable, with sufficient legroom and recline. The only issue being the excessively stiff seat pocket. Anything thicker than a magazine is difficult to stow. On the flight to London we were given dinner and breakfast plus a good selection of drinks. Food choices were OK and if your choice was not in their cart the FA's were happy to find the meal in another cart if they could. They went out of their way to help. Service was generally very friendly, polite and efficient. Cabin crew seemed to be enjoying their job too, which makes a change from the sullen service on some European carriers. Inflight entertainment selections were a bit dated but OK. The major problem was sound quality. On this flight the movie voice soundtrack at my seat was completely garbled (though the music track was fine). Perhaps the different language tracks were interfering. As I mainly wanted to sleep on this overnight flight this was not a big loss. Overall I was satisfied by SAA's inflight service, it was way above expectation. Ground service at OR Tambo Airport is shockingly bad but that's another story.",Couple Leisure,Economy Class,Johannesburg to London ,February 2018,4.0,yes,A330,3.0,5.0,3.0,1.0,1.0,
68,south-african-airways,2018-01-15 00:03:00,True,"Cape Town to London via Johannesburg. I will start with a few positives about the experience: The staff are personable and the meal service is conducted quickly to allow the maximum sleep time on the JNB-LHR route. Access is provided to an arrivals lounge, which is essential as the airlines serves only powdered coffee. Now for the many negatives, these relate primarily to the seat and to the airline's schedule instability. The aircraft was the advertised A330-200. These are widely marketed as lie-flats by the airline and independent websites, however they are angled at about 170 deg and uncomfortable for sleeping. SAA is rare in having a different Business Class seating product on each long-haul aircraft type and also unusual to go from the extremely comfortable and 2-metre long long lie-flats on the A340-600 back to an angled version. The schedule is unstable. I was booked on SA354 at 17.05. SAA did not inform either my travel agent or me of the change in flight plans, it was only by chance that I had wifi access and attempted an online check-in to notice we had been rebooked on SA346 at 15.00. This flight operates 2 hours earlier than our original booking. For much of our trip we were in the bush and off grid so would have missed the flight if we had been coming from elsewhere. This lack of communication of a significant flight change is terrible, as we would have missed the flight had we turned up for a 17.05 departure. On check-in it became apparent that the SA352 at 16.05 was cancelled and passengers being moved from SA352 to SA354. However, a 5-hour wait at JNB was not expected or particularly welcome and no attempt was made to move us to the earlier SA234 from JNB to LHR. Staff professionalism - staff chatted in the galleys throughout the night on both LHR flights, which disrupted sleep despite ear plugs. Furthermore, my request if a snack might be available before the breakfast service commenced, only to be told there are no snacks on board. Other airlines on similar flight lengths would at the very least be able to offer a pack of nuts or crackers.",Couple Leisure,Business Class,Cape Town to London via Johannesburg,March 2018,2.0,no,A330-200,2.0,2.0,3.0,4.0,3.0,
69,south-african-airways,2018-01-02 00:03:00,True,"In September, 2017, I bought three tickets from Port Elizabeth to Johannesburg for me, my girlfriend and her godson (12 years old). I informed, on the same day that I bought such tickets, that there was a little error in the passenger name, and I asked what would be the procedure in this case. It was a material and irrelevant error, I just had written his middle name with an extra “r”. In the e-mail dated 26 September 2017 sent by the Reservations Service Recovery team as described herein, they confirmed that the error in the name would not be a problem and also informed the occurance of a schedule change on our flight, as transcribed below: “Kindly be advised that we have endorsed on the system for the airport to allow passenger to board. Please note that there has been a schedule change on your flight from Port Elizabeth to Johannesburg.” Unfortunately, on flight day when I tried to do the kid's check in at the airport, I was informed that his ticket was cancelled, although his seat was still booked in the system. We know that because I did my check in and my girlfriend's check in online one day before the flight and kid's seat was there. South African employee informed us that his ticket was cancelled, because the name was wrong and the company policy sets forth that the ticket must be automatically cancelled. However, I did not receive any e-mail about such cancellation. And also we confirmed five months ago with the company if the error in kid’s name would represent a problem and the answer was no, as I mentioned above. The employee at the airport said that the ticket was cancelled and refunded and she could not do anything about it. The wrong information of South African Airways employee, and the lack of cancelation notice cost us 3.281,89 Rand, almost four times more than the ticket that I originally paid for the kid to travel with us. I still want to understand why his ticket was cancelled and once cancelled why I did not receive a notice about it. We were on vacations and we booked two days in Sun City Hotel. So I did not have other choice than buy another ticket to the kid by a huge price. I look foward to their return. The ticket was arbitrarily cancelled. We were badlly guided by South African's team regarding the error in the kids name and the cancelation of his ticket. It cost us more 2.465,80 Rand. It is our first flight with SAA and we are very disappointed with the way that we have been treated by their employees since the beginning.",Couple Leisure,Economy Class,Port Elizabeth to Johannesburg,February 2018,1.0,no,A319,3.0,3.0,2.0,1.0,,
70,south-african-airways,2018-01-24 00:02:00,True,"George to Johannesburg. I have never encountered such horrendous customer service in my entire life. Our flight was delayed and then our bags “misplaced” for another 45 min, causing us to miss our international flight. South African airways did nothing to compensate us nor helped us rebook. I was directed to speak to a supervisor who then simply told me over and over again that they apparently have no responsibility to get us to our other flights on time. I will never fly this airline again, and I would recommend that they be avoided at all costs. It cost $8000 just to get home.",Couple Leisure,Economy Class,George to Johannesburg,February 2018,1.0,no,,1.0,1.0,1.0,1.0,,
71,south-african-airways,2018-01-17 00:01:00,True,"I booked a flight for two people on SAA going from Cape Town to Mauritius via Johannesburg on airline website. Never have I had this happen and we travel out of country every 3 months on average. The first part of our vacation was spent in Cape Town. Using ET from LAX, we had no problems, very pleasant flight. Now were ready for our second city so its back to the airport to head out for Mauritius. The SAA counter looks at my passport and says,"" You can't leave the country on this ticket"". Why? ""This is not your ticket. Your Passport says Gregory but your ticket says Greg"". I tried to explain to her this is very common for Americans to shorten names. She say,"" Your Ticket much match your Passport Exactly"" . I wanted to say, with that logic my GF can't fly either because her ticket doesn't have her middle name as does her passport but I thought better. They told me I had to cancel my ticket and buy one from them. I said, how can I cancel someone else's ticket? what If ""Greg"" shows up, since you people think Im not Greg? The lady didn't appreciate that lol. They ended up charging me 800USD to go from Cape Town to Mauritius. I was stuck. The sales counter even had the nerve to ask, what about your return flight, aren't you going to buy it now? I said, I worried about that in Mauritius. I believe this is a legal scam they pull to shake down customers. The sales lady say had i bought my original tickets on ""Their"" website, they would have just issued me a new ticket no charge. Forgive me if I don't believe. Once in Mauritius, I called my ticket broker and they said because i was a ""No show"" on the first leg of the flight, my return ticket was cancel and they couldn't update my name in the system. I decided to buy two new return tickets. Needless to say, I will never set foot on an SAA aircraft again. Lesson learned.",Couple Leisure,Economy Class,Cape Town to Mauritius via Johannesburg,January 2018,3.0,no,,2.0,5.0,3.0,3.0,3.0,
72,south-african-airways,2018-01-03 00:01:00,True,"Johannesburg to Hong Kong. SAA was a huge disappointment for my daughter and myself.  The seats and TV screens were dirty. The selection of movie were old and outdated. They hostess informed us they have run out of certain drinks on the first service order. When all the lights were shut down in cabin I assume that means we can all have a nap but it was impossible, the staff never stopped talking, this went on for hours.  We would like to support our local airline but after this flight will rethink my future travel decision.",Couple Leisure,Economy Class,Johannesburg to Hong Kong,December 2017,2.0,no,,2.0,2.0,2.0,1.0,1.0,
73,south-african-airways,2017-01-30 00:12:00,True,"East London to London via Johannesburg. Huge credit to SAA for providing a consistently excellent service onboard and on the ground. For passengers departing South Africa to Europe and many other routes, they have an amazing deal for excess baggage with an extra 3 bags allowed at 450 ZAR per bag (just over GBP20) compared to KQ, BA and ET all charging 7 times that - a massive advantage for long term residents travelling heavy. Good entertainment and (three) nice meal choices, with unlimited, quality alcohol throughout the overnight flight to London and also on the short domestic flights continue to set them apart. Don't expect never ending smiles from young staff, but this is part of the appeal. Very sad to hear SAA are pulling out of East London next year. We experienced some hectic storms on both journeys, but both pilots kept passengers updated and transfer at ORT was efficient.",Business,Economy Class,East London to London via Johannesburg,November 2017,5.0,yes,A319 / A330,4.0,4.0,5.0,5.0,4.0,
74,south-african-airways,2017-01-16 00:12:00,True,"After many years travelling with South African Airways I must say that I had the most horrible customer care experience of my life. Another bad experience was some years ago and it was again with SSA, so this time I promise myself that I will never fly again with this airline and strongly recommend to avoid them. After request of cancellation of 4 tickets for very serious health problems with 2 month notice communicated to the airline company we received a feedback that administrative fees for cancellation were amounting to almost the total of what we had paid for our tickets. A real shock. In the same occasion the other airline company with which we had booked another segment of the trip refunded us against a minor cancellation fee.",Family Leisure,Economy Class,Windhoek to Livingstone via Johannesburg,December 2017,1.0,no,,,,,1.0,,
75,south-african-airways,2017-01-19 00:11:00,False,"Johannesburg to Durban. Flight was on time, no great shakes for a 50 minute domestic flight. A drink and a sandwich severed during the flight. However - this must have been the filthiest plane I have ever been on and I have been on hundreds. The dirt, grim and filth on the table and seats was beyond a joke.",Couple Leisure,Economy Class,Johannesburg to Durban,November 2017,3.0,yes,Boeing 737,1.0,4.0,4.0,5.0,,
