,Subject,date_published,verified,review_text,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_&_beverages,ground_service,value_for_money,recommended,wifi_&_connectivity,inflight_entertainment
39,egyptair,2019-01-07 00:11:00,True,"Hong Kong to Bangkok. Being star alliance gold member of Singapore airlines, I looked forward to trying Egyptair for the very first time, and see what they have to offer. However, my business class experience was way below my expectations. Crew's grooming were not really neat, there was no sense of welcome throughout the flight. They were chatting away in the galley, ignoring passengers most of the time.  Crew did the bare minimum, there was no smile, they weren't engaging or pro active, from the pursers to junior crew.  Since no menu was provided, crew didn't explain what's available in terms of beverages. I had to ask, and it was apparent that they weren't interested to inform me what's available, I felt every little request I made was a huge bother to them. Came meal time, all 3 choices were brought in front of me (instead of using a cart), I had to make a quick decision. I was asked to take the chosen meal from the tray she held. (it's a hot plate btw). No after dinner coffee or tea was offered. Dessert was offered on one sector but not the other.. Crew didn't check for safety procedures during landing and take off on one flight, there were a few passengers still asleep with window shut and flatbed position. This really bothered me and raised all the red flags for safety concerns. There was hardly any announcement from the cockpit about the flight, and info of arrival destination. Toilet was not kept clean.  Smoking in the toilet by one of the crew. The business class ticket price was very cheap though. Still, cheap does not mean it has to be bad at this level. I fail to comprehend how they can be one of Star alliance's members?",A330,Solo Leisure,Business Class,Hong Kong to Bangkok,November 2019,3.0,1.0,2.0,3.0,5,no,,2.0
40,egyptair,2019-01-02 00:11:00,False,"Toronto to Athens via Cairo. I got a very good deal on this flight.  Trying to contact them in North America to make flight changes is a mystery. The web site directs you to a Montreal phone number which is no longer in use. I contacted the New York office and a woman tried to help me but ended up giving me the wrong seats although I had paid extra for them. I tried contacting a Toronto office and was on hold for 90 minutes and never ended up talking with anyone. I contacted the New York office and a gentleman did contact me and tried to help but once again gave me the wrong seats and charged me for them and then disappeared. After this experience we approached the flight with some trepidation and most of it unfortunately was warranted. Flight was on time, food was mediocre, service was okay. The Egyptair portion of Cairo airport is more like a bus terminal than an international airport, fast food outlets and hard plastic seats. The lounge is probably the worst I’ve ever seen. You can get a drink but be prepared to pay over $20.00 for a simple vodka mixed drink. Boarding is more like a stampede than an orderly assignment of seats. The attendants were friendly enough but I didn’t get the sense there was any motivation to provide better customer service. Planes were shabby by international standards.",Boeing 777,Couple Leisure,Economy Class,Toronto to Athens via Cairo,October 2019,3.0,3.0,3.0,2.0,3,no,,2.0
41,egyptair,2019-01-29 00:10:00,True,"On October 27th, I was boarding EgyptAir plane MS0895. I had my dog with me. It took me long time to get a permit from US authorities to allow my dog to enter US. The manager talked to me in a very rude way saying don’t waste my time. This dog won’t go on the plane. He was 4 kg above the limit. I offered to pay extra fees. He refused firmly and ordered me out of the line till I take the dog away. He ordered me to take him to Cargo. I called an Egyptian friend and left my dog with her, and I had to board the plane. My friend went to Egyptair Cargo: they told her that they don’t take live animals because they had several accidents. She took my dog to her place and went to return his ticket. EgyptAir took 10% of the ticket. My pet is left in Egypt now. . How can I get my pet to travel to US now?",,Solo Leisure,Economy Class,Cairo to New York,October 2019,3.0,3.0,3.0,1.0,2,no,,3.0
42,egyptair,2019-01-14 00:10:00,True,"Amsterdam to Bangkok via Cairo. I've flown a couple of times with this airline - bought a couple of tickets all at once because they were very reasonably priced. In all honesty: I so much regret doing this. On short-haul flights Egyptair has terrible seats in BC; these are very hard and I need to put a blanket under me to sit on. The long haul flights - done A330 and B777 - have seats that not go entirely flat and when sleeping on your side as I do, it messes up your spine. Overall: the planes are just like the lounge in Cairo dirty. Usually, I use the wet tissues to wipe my armrests and they turn black. Also when in the bathroom of the plane, the shelves are black of all sorts of dirty stuff. Staff usually want to do their best, but it all is very clear that they seem to be totally unexperienced or just not a 100% fit for their job. This already starts with small things where I get extremely annoyed with everyone sleeping during the flight and then when sitting at row 4 I still clearly hear staff having their ""tea party"" conversations and laughs. It would be nice that like in other airlines you would have some sense of your paying customers wanting to have a sleep. Food on board seems to have quite a variety - on the short-haul flights it is always terrible while on long haul it seems to be OK-ish, but also not more than that. Have had much better on other airlines. As for the lounge: it is just all dirty and the food is very mediocre. Most of the stuff I don't want to touch. Reasonably priced tickets but still expensive because you get very poor service and a poor BC product for it.",A330,Business,Business Class,Amsterdam to Bangkok via Cairo,October 2019,1.0,1.0,1.0,1.0,1,no,,
43,egyptair,2019-01-02 00:10:00,False,"Hurghada to Manchester. After travelling home on Egyptair following the collapse of Thomas cook I have to admit I was a little apprehensive. I shouldn't have been, a smooth flight and hot meal provided. Professional staff, big thank you for getting us all home safely.",,Family Leisure,Economy Class,Hurghada to Manchester,September 2019,4.0,4.0,4.0,4.0,4,yes,,
44,egyptair,2019-01-01 00:10:00,True,"New York to Cairo. Concerned with the lack of customer service on my last flight September 28th from Cairo. My partner and I were extremely disappointed. Not only was the flight long and uncomfortable, but rude flight attendants  made it more horrific. They were not nice when I asked for a cup of water and told me to wait and I waited almost forty minutes until they came back to me to do so. I understand that the flight attendants may be tired and maybe the personality or aggression that is given to one another in Egypt is normal but not to me. We have respect and kindness to one another and to the ones around us.",,Couple Leisure,Economy Class,New York to Cairo,September 2019,1.0,1.0,3.0,2.0,3,no,2.0,5.0
45,egyptair,2019-01-23 00:08:00,False,"Athens to Ghana via Cairo with Egyptair. Awful airline. They lost my luggage for a month. I have not even received my bags before I left. What made it worst is that they had no customer service, no agents present. You were just expected to wait for the bags. Would not recommend this airline.",,Solo Leisure,Economy Class,Athens to Ghana via Cairo,August 2019,1.0,4.0,3.0,1.0,1,no,1.0,1.0
46,egyptair,2019-01-11 00:08:00,True,Cairo to Sharm El Sheikh in March 2018. Flight was normal. Nothing special. Egyptair don't care about the customers and refuse to reply or help. They broke both my wife and my bags. We did the paperwork at the airport in Cairo as was directed. Only to find out they won't pay for 2 bags on one form. For 18 mths they just ignore the facts and offer to pay for 1 bag.,,Couple Leisure,Economy Class,Cairo to Sharm El Sheikh,March 2018,3.0,3.0,,1.0,1,no,,
47,egyptair,2019-01-08 00:08:00,True,"Toronto to Istanbul via Cairo. The food is very bad, and the flight crew were rude to me. When I went to ask for a glass of water since they only give beverages twice during the 12 hour flight, the air hostess was aggressive and started making stupid gestures . Also Egyptair staff at the transit office in Cairo airport are disrespectful when we approached them to talk about our seats.",Boeing 777-300,Family Leisure,Economy Class,Toronto to Istanbul via Cairo,June 2019,2.0,1.0,1.0,1.0,1,no,,2.0
48,egyptair,2019-01-10 00:07:00,True,"Washington to Cairo with Egyptair. Good value for money, great flight times, friendly staff. Business class on the Dreamliner is great/modern and able to compete with larger airlines. Comfortable seats and nice selection in entertainment system Drinks section is a bit limited (and no alcohol) and the lounge in CAI is not the best.",Boeing Dreamliner,Solo Leisure,Business Class,Washington to Cairo,July 2019,5.0,5.0,4.0,4.0,4,yes,5.0,5.0
49,egyptair,2019-01-26 00:06:00,True,"Asmara to Milan via Cairo. In the december 2018 I flew from Cairo to Milan and because of fog we had to land in Roma Fiumicino. Obviously I had to pay by myself for reaching my final destination and after 7 months I'm still waiting for the reimbursement, no answers from the company yet.",,Family Leisure,Economy Class,Asmara to Milan via Cairo,May 2019,2.0,1.0,1.0,1.0,1,no,,1.0
50,egyptair,2019-01-24 00:06:00,True,"New York to Cairo. The crew were very professional and friendly, wish to fly with such crew every time. I fly a lot on other airlines such as Delta and Lufthansa, never gave a review cause we’re normal but this flight was different.",Boeing 777-300,Family Leisure,Economy Class,New York to Cairo,June 2019,4.0,5.0,3.0,3.0,5,yes,,3.0
51,egyptair,2019-01-15 00:06:00,False,"Hurghada to Cairo. Egyptair was the worse flying experience we have had. They are equivalent to Spirit airlines in the US. Every flight in the terminal for them was delayed or cancelled. Our flight was delayed by more than 11 hours causing us to miss our connecting flight. When rebooking our connection the EgyptAir manager ensured us that our flight would be at 10pm and we paid our rebook fee of $250 per person (different airline). Lo and behold, the 10pm flight did not depart until 12:45am causing us to miss our connection. The response we received from Egyptair was that it is not their responsibility for another airline. We ended up losing 2 days of our next leg of travel and costing us over $1500.  We were treated so poorly, airline personnel gave us attitude.",,Couple Leisure,Economy Class,Hurghada to Cairo,June 2019,2.0,2.0,,1.0,1,no,,
52,egyptair,2019-01-22 00:05:00,True,"Kuwait to New York via Cairo. I recently flew the EgyptAir route from Kuwait to JFK through Cairo and it was altogether a good experience. From the online check-in to baggage claim, things were fine, quick and efficient, though I must note that on one or two of my flights, I wasn't given the seat I choose during online checkin for no explained reason. Planes were on time (fairly) and we got to each destination in time. I flew economy regular and it was more than acceptable with good legroom, good amenities like blankets, pillows, and we even got a little duffle bag with earplugs, eye cover and other things in it which was a nice touch. The inflight entertainment, though not to the level of Emirates or Qatar airways, was acceptable, though screens were low res and the selection was kind of limited. Bad things noteworthy are that staff may blatantly ignore you and delay requests and sometimes me and my American seat neighbour were pure skipped while handing out food and refreshments. Cairo airport is very acceptable, with a decent duty free section but has less than par bathrooms sadly and the constant begging for tips by porters got aggravating real fast. The food was very decent to be honest, can't fault them on that.",,Solo Leisure,Economy Class,Kuwait to New York via Cairo,May 2019,4.0,1.0,4.0,3.0,4,yes,,3.0
53,egyptair,2019-01-21 00:05:00,True,"Amman to Aswan via Cairo. Extremely disappointing. My first flight was delayed and upon arrival at Cairo for the connecting flight, I was met by an Egyptair employee (as we needed to rush) who asked me to get a visa, which I paid him 25USD (and another 25USD for my wife). Immigration then informed me that I did not need a visa - and the employee just shrugged at me without even offering to give me a refund. Next, our baggage missed our flight and we were given a compensation of 200EGP (10 USD) only as both pieces of baggage were booked in my wife's name. We had to pick up the luggage ourselves the next day as we came from an international flight, and the taxi ride cost us 30 USD return from our hotel - which was not covered. Not sure how you can just give 10 USD compensation when the taxi ride return from the city is 30 USD. Flight itself was not too bad, but after the above scenario, I will not fly this airline again.",,Couple Leisure,Economy Class,Amman to Aswan via Cairo,April 2019,3.0,3.0,3.0,1.0,2,no,,
54,egyptair,2019-01-17 00:05:00,True,"Bangkok to Istanbul via Cairo. Very nice airline. My flight was 9:30 hours from Bangkok to Cairo. The seat was great for me there are PTV, usb port, headphone, blanket.  The plane arrived early than the scheduled time. Very Well groomed flight attendants. The check in gate is friendly and quick, always watch when the check in give your baggage tag, all your baggage should get the tag.  I arrived Cairo safe and transit for a flight to Istanbul. This Cairo to Istanbul flight is nice plane too. Small but okay because it take only 2 hours to fly. The meal on both flight is very nice. Eggs, sausage, bread, chicken, rice. Easy for all nationalities to eat. I got all my baggage on time and all my baggage is well taken. Great airline. Keep improving.",,Solo Leisure,Economy Class,Bangkok to Istanbul via Cairo,May 2019,4.0,5.0,5.0,5.0,5,yes,,5.0
55,egyptair,2019-01-25 00:04:00,True,"Hurghada to Cairo. We need to pay $30 for scuba equipment bag, so do not expect free baggage allowance for scuba equipment for this airline. Food on flight is just few butter cookie. I would expect more for full service airline.",,Couple Leisure,Economy Class,Hurghada to Cairo,April 2019,3.0,3.0,1.0,2.0,2,no,,
56,egyptair,2019-01-26 00:03:00,True,Mumbai to Toronto via Cairo. My experience with Egypt Air is simply exceptional. The service and hospitality provided by the crew are commendable and worth appreciating.,,Solo Leisure,Economy Class,Mumbai to Toronto via Cairo,September 2018,4.0,5.0,4.0,3.0,4,yes,,
57,egyptair,2019-01-05 00:03:00,True,"Barcelona to Cairo. I was concerned about traveling on Egyptair but there was no real alternative. Check in and the flight were just fine: no problems at all. Egyptair was as good as any US domestic flight. The problem began when I forgot my small backpack under the seat. I didn’t realize this until we were all the way out to the taxi. The true colors of an airline show when they handle a problem. Starting with the taxi guide, everyone at the airport and the airline was wonderful. The taxi guide whisked me back through security, handed me off to a security agent and they quickly got me to Egyptair lost and found. There was my backpack with $2500 worth of electronics untouched. I was thrilled. Everyone was so nice. This was the beginning of a fantastic trip. Amazing country, astonishing archeology and wonderful people.",,Couple Leisure,Economy Class,Barcelona to Cairo,February 2019,4.0,5.0,4.0,5.0,5,yes,,
58,egyptair,2019-01-27 00:02:00,True,"Abu Dhabi to Cairo. Would never ever fly with this airline again. Although I checked in through Etihad my flight was with EgyptAir. Had issues when transfering within the airport and the staff were incredibly rude and refused to listen to anything I was saying. They subsequently lost my luggage and have refused to acknowledge this. I have not once had a reply to any email, calls or tweets that I have sent. All of the numbers come up as invalid. I did receive a reply for a facebook message which was a copy and pasted version of their website instructions. I am disgusted with the whole experience.",,Solo Leisure,Economy Class,Abu Dhabi to Cairo,February 2019,1.0,1.0,3.0,1.0,1,no,,1.0
59,egyptair,2019-01-29 00:01:00,False,"Cairo to Bangkok. Its a good airline according to its price. It was a comfortable flight, cabin crew were friendly and always wanted to help, food was amazing with many choices of drinks (all alcohol free) and also they had a great choices of movies. Coffee was really good, also they had an internet connection but it was a bit expensive.",A330-300,Solo Leisure,Economy Class,Cairo to Bangkok,January 2019,4.0,5.0,5.0,3.0,4,yes,4.0,5.0
60,egyptair,2019-01-26 00:01:00,True,"Johannesburg to Medina via Cairo. In January this year we embarked on a pilgrimage to the Holy Cities of Makkah and Medina.  Our flights had been booked on Egypt Air. The agent who’d arranged the logistics of our journey assured us that Egypt Air was a decent airline and that our journey would be pleasant. We trusted him, since the journey to Medina, via Cairo, had been pleasant enough. We weren’t overly concerned about the 23 hour layover in Cairo that loomed ahead of us on the return leg. He guaranteed us that EgyptAir would arrange accommodation for our group and that we’d be issued transit visas which would allow us to do a bit of sightseeing before setting off for home. The children were especially excited about this. A chance to see the pyramids! When we stood in the queue at their passport control, never had I encountered an immigration official this rude! He demanded that transit passengers sit down! So we sat. We were a fairly large group, it turned out. Twenty five South Africans and a smattering of Nigerians.  Anticipating a long-ish wait, we got comfortable. Greeted our fellow wayfarers, shared what food we had among us and waited. It was two hours before a bus was sent to collect us. We were then driven to the main airport building where we were just told to go upstairs. Here we found an Egypt Air Customer Services desk where a handful of agents were dozing on desks. When someone finally rose to come and see to us, we were told that since we’d arrived early in Cairo, there was nothing he could do for us. There was no accommodation booked. We should go and sleep in the mosque. We were stunned. Egypt Air Customer services aren’t big on responding to the same question twice, clearly. The agent became rude and surly at this point. Seeing that we would make no progress with this particularly unhelpful help desk at near 3AM, we sought out the prayer room. The ladies’ section was just about empty. The ladies and children huddled in groups on the stone-hard floor and tried to sleep. It was freezing! For the men, the night would turn out being much more uncomfortable. The men’s section of the prayer room was full of men who had hours to wait before their connecting flights.",A330,Family Leisure,Economy Class,Johannesburg to Medina via Cairo,January 2019,2.0,1.0,1.0,1.0,2,no,,
61,egyptair,2019-01-24 00:01:00,True,"Berlin to Cairo and back excellent airline, fast check-in, smooth boarding, very charming flight attendants, good food in quality and quantity, three choices, chicken, beef and fish IFE is overhead screens and some music channels, which is good enough for a four hours flight.",Boeing 737-800,Solo Leisure,Economy Class,Berlin to Cairo,January 2019,4.0,5.0,4.0,5.0,5,yes,,4.0
62,egyptair,2018-01-30 00:12:00,True,"Hurghada to Cairo. Flight was on time, and luggage claim fast. Overall service was pretty poor. Domestic terminal was filthy. Paid for business class, but seats were identical, no business class lounge or boarding line. Only difference between economy and business is seat at front of the plane, and a small tasteless sandwich. Not worth the extra money.",EMB170,Solo Leisure,Business Class,Hurghada to Cairo,September 2018,3.0,3.0,2.0,1.0,1,no,,
63,egyptair,2018-01-28 00:12:00,False,"Cairo to Beirut. Worst airline I have been with. The couple of times I have been with them my flights got delayed. Fleet not so new and maintained. Crew not so professional. Always expect an issue when you decide to go for them; either a delay, mishandled baggage, paid seats cancellation, rudeness, discomfort.",,Solo Leisure,Economy Class,Cairo to Beirut,December 2018,3.0,2.0,1.0,2.0,2,no,1.0,1.0
64,egyptair,2018-01-18 00:12:00,True,"Rome to Cairo. Excellent service from check in to the flight. The Lounges at Rome Egyptair use Alitalia. There are a number of lounges. I used two, I didn't realise gate E had a lounge beside it. Good food selection, fine quality wines and spirits as Egyptair is a dry airline I filled up at the lounge. Excellent service. On board the hostess took my overcoat and hung it in the Wardrobe, I notice a lot of European carriers don't offer this service anymore. The flight had very comfortable seats for a two to three hour flight. Cradle type, just two seats beside each other in business much better than the usual tight European business class. The meal was very good, I had steak and the drinks even though non alcoholic were nice fruit juices. Relaxing flight and my bags were first off at Cairo Airport ready for my onward journey to the hotel. Overall good old style business class a great service, friendly smiling staff and uneventful flight.",Boeing 737-800,Business,Business Class,Rome to Cairo,November 2018,5.0,5.0,5.0,5.0,5,yes,3.0,3.0
65,egyptair,2018-01-08 00:12:00,True,"Bangkok to London via Cairo. I was originally booked in business class for this flight, but I had to change my flight and ended up getting downgraded to economy. At Bangkok airport, there was a line for Business class passengers that looked rather long. Boarding was relatively organised, although I did manage to get on ahead of those seated in my zone. After takeoff, the crew dragged meal service for an hour and a half.  On this flight, the catering was provided by Thai, and was the same thing I got on my flight to London with Thai. The only difference being served a salad with a hideous dressing instead of a meat appetiser. After meal service, I attempted to sleep. I was in the middle row, and there was two of us, my seatmate was on the right aisle and he slept in his seat without any problems. Even though I had three seats to myself, I couldn't get good sleep on this flight. The recline was too little. Ultimately I did manage to go to sleep after an hour trying to find a good (and awkward) position. A good feature of the seat is the footrest. A bad feature of the seat is the minimal head support, and I found myself wrestling with the headrest during boarding trying to get it up. They also gave us amenity kits. Which were the same amenity kits given to business class passengers.  Transit is a good experience in Cairo, as you go through security at the gate. Unfortunately, something that didn't happen on my outbound flight was an organised boarding. They shouted ""Bangkok"" and people went sprinting to the gate. This time, they shouted ""Business Class"" and let business class passengers get on first. I was quite cross since this didn't happen when I flew Business. On this flight, I found myself calling the flight attendant repeatedly as my seatmate (Not travelling with me) was not served a snack when everyone else was served one. One of the funny things that happened on this flight was that there was a crying baby, but no one seemed to mind, including myself.  I am not very happy with my Egyptair experience, and I'd take my word back where I said I would be alright to fly with them in business class, rather, I'd probably choose another Star Alliance carrier in future. Egyptair is quite a rubbish choice, and I wouldn't fly them again in economy, but I might consider their business class in the future.",A330-300 / Boeing 777-300ER,Solo Leisure,Economy Class,Bangkok to London via Cairo,December 2018,2.0,3.0,3.0,2.0,2,no,1.0,2.0
66,egyptair,2018-01-03 00:12:00,True,"Brussels to Cairo return. Beside a short delay inbound and outbound of about half an hour I have no complaints. Service was very good. Friendly crew, standard economy meal which tasted quite good and more leg space compared to most European airlines. Also the inflight entertainment system was ok. I would fly with Egyptair again and was very happy to see the transformation from a bad airline in the past to a good reliable airline now. So, in summary: friendly crew, sufficient flight entertainment system, satisfying food along with with a second serving of drinks with a slice of cake (an appreciated extra) and lots of leg space which is very important for me. I would recommend Egyptair. Airplane was a modern Boeing 737-800.",Boeing 737-800,Solo Leisure,Economy Class,Brussels to Cairo,November 2018,5.0,5.0,5.0,5.0,5,yes,,4.0
67,egyptair,2018-01-21 00:11:00,True,"London to Bangkok via Cairo. I was quite sceptical when I booked Egyptair, their reviews weren’t fantastic but I booked them on the basis that they were a star alliance member (I needed the miles) and also because of a very cheap ticket (£1250). At Heathrow airport, I arrived 6 hours early for my flight (I do this often) as I wanted to avoid the rush hour Piccadilly line to Heathrow. I used the self check in desks however they didn’t work as well as my bag tag was printed but not my boarding pass. But the friendly Check in agent was able to print out my boarding pass. Air Canada lounge in Heathrow was really good, food offering was plenty and seats weren’t an issue. Boarding was relatively organised however a bit sluggish. There was an odd choice of drinks, strawberry juice (which has whole strawberries inside) and pineapple juice. We had a slightly late departure but not too bad. Food on this flight was relatively good, although I think I may have chosen the wrong main course, as the other options sounded better. The fish and prawns were a bit dry, but nothing too bad. The big issue was that my seatmate (not travelling with me) was given a vegan special meal he didn’t order. The seat was comfortable, and there was lots of legroom! Everything was where it needed to be, and the recline was plenty. Entertainment was alright, not too good but could be better. The crew on this flight were absolutely fantastic. The purser (with 38 years experience) was amazing. She provided such good service that most of the passengers couldn’t resist giving her a handshake as they left the aircraft. Transit in Cairo is chaotic, but you only need to clear security at the gate. The first lounge I went to was a smoking lounge (the entire airport already smelled of cigarette smoke) then the second was a similar story, after which I was directed to a non smoking lounge, small, and some people couldn’t sit together. Food offering wasn’t bad and I didn’t go hungry for my red eye flight. This time, the crew dragged dinner service for two hours after departure, and I had to skip dessert (luckily I ate in the lounge). The seat on the A330 is noticeably smaller than the 777. It’s the same seat compressed into a smaller cabin. Legroom was decreased and the seat recline slightly decreased. Departure was delayed by half an hour and flight time was increased by half an hour, which meant I had to run through Bangkok airport to connect to another domestic flight. The crew on this flight were a little less friendly than the London flight, but still proved to be professional. The seat was angled flat, which sounded good for me in theory, but wasn’t too comfortable as i spent the same amount of time trying to fall asleep as i would’ve if I’d have been sat in an premium economy seat. WiFi was offered at an expensive price, so I chose not to use it. Overall, i am quite satisfied with my Egyptair experience, and would certainly fly them again for the price offered as they have drastically improved from the last time I flew with them. There are still some old school charms about flying them, especially the way they present their meal service. The main reason I chose Egyptair was that they are a star alliance member. Although, I would more likely choose a different airline for long haul solo travelling as I would prefer a 1-2-1 business class.",Boeing 777-300ER / A330-300,Solo Leisure,Business Class,London to Bangkok via Cairo,November 2018,4.0,5.0,3.0,3.0,5,yes,2.0,3.0
68,egyptair,2018-01-14 00:11:00,True,"New York to Sharm el Skeikh via Cairo. The flight was ok but first thing my luggage wasn’t to final destination. They have 10 flights daily to Sharm El Sheikh but this company put me on the last flight. I spent 11 hours in the horrible airport with no internet and no fresh food. One little coffee shop with poor food choices and no fresh. Customer service refused to take my baggage from me, at jfk they refused to send my baggage to final destination. It says on internet they would give you a hotel room if you have more than 6 hours layover. It’s a lie. No lunch, no hotel accommodation. To exchange your ticket on earlier flight they offer me to pay extra $250 why? There were free seats but they refused. I couldn’t go and see Cairo cause of my baggage which a normal company delivery to final destination. My trip was waste of time at the airport instead of enjoying sightseeing.  I wouldn’t complain if my baggage was to final destination so I could have free hands to go outside. Their decision was to take all 3 luggage with me and walk around Cairo! Are you serious? Customer service didn’t find a solution. I had to pay for the full day and food at Sharm El Sheikh hotel which I didn’t use and won’t get my money back for that neither.",Boeing 777,Solo Leisure,Economy Class,Cairo to Sharm el Skeikh,November 2018,4.0,5.0,4.0,1.0,1,no,,3.0
69,egyptair,2018-01-12 00:11:00,False,"Toronto to Cairo. Very disappointed with this airline. They lost our luggage, found it 17 days later! I filled out all that was required for reimbursement and then they stopped replying to my e-mails. I have e-mailed them 5 more times with no reply!",,Family Leisure,Economy Class,Toronto to Cairo,August 2018,2.0,5.0,2.0,1.0,3,no,,3.0
70,egyptair,2018-01-05 00:11:00,True,London to Guangzhou via Cairo. Both flights on time. Food good. Crew looked uninterested at times but hard working and dedicated. Lots of soft drinks including self service refills from the back galley. No alcohol served. Seats on B777 very very comfortable (actually one of the best economy seats I have seen) with good pillows and blankets and good space. Nice amenity kit provided (business class style). One of the deserts was a red velvet cake which was excellent and the chicken potatoe dish from London was also excellent quality. Nice side salad served as well. Pity no alcohol as a glass of wine would be nice but understand why not. Excellent value for money at about 40% cheaper than other regional carriers and the flight timings on this trip reduce jet lag. Would fly again definitely. Well done Egyptian.,Boeing 777,Business,Economy Class,London to Guangzhou via Cairo,November 2018,5.0,3.0,5.0,4.0,5,yes,,3.0
71,egyptair,2018-01-29 00:10:00,True,"Athens to Cairo. There is nothing special about this flight. However, I was surprised about the meal service. The food was delicious and well portioned, particularly for a 2-hour flight. In fact, it tasted better than some business class meal I had on long-haul flights. The equipment, a Boeing 737-800, was new and clean.",Boeing 737-800,Solo Leisure,Economy Class,Athens to Cairo,October 2018,4.0,4.0,5.0,4.0,4,yes,,4.0
72,egyptair,2018-01-17 00:10:00,True,"Johannesburg to Frankfurt via Cairo. Great flight on Egyptair. I chose them because they were Star Alliance, and while the wine may not flow, the hard product on both the A330 and B737-800 is of a good standard as was the catering and the crew. Lounges in Cairo leave a little to be desired, food available was woeful, and something Egyptair needs to work on. Other than that, I was very pleased with the product and look forward to the trip back.",A333 / Boeing 737-800,Solo Leisure,Business Class,Johannesburg to Frankfurt via Cairo,October 2018,4.0,5.0,4.0,4.0,5,yes,,
73,egyptair,2018-01-12 00:10:00,True,"Jeddah to Cairo. One of the worst airlines and it keeps getting worse. They simply do not care to provide a good service and also take no accountability. Delays, issues with food, faulty equipment. It’s always someone else’s fault.",,Business,Economy Class,Jeddah to Cairo,October 2018,1.0,2.0,1.0,1.0,2,no,,1.0
74,egyptair,2018-01-07 00:10:00,True,Entebbe to Amsterdam via Cairo. Both Fine flights. First part from Entebbe to Cairo in older 737 without any entertainment. But as it was in the middle of the night I did not miss this. Second part towards Amsterdam in a more modern 737 with entertainment and happier staff but also happier passenger perhaps because the more human moment of the day. I like the food at Egyptair and the ladies keep running with coffee and tea. Absolute value for money in my opinion with 40-60% discount compared to other European / Middle-East airlines flying to Entebbe.,Boeing 737-800,Couple Leisure,Economy Class,Entebbe to Amsterdam via Cairo,October 2018,4.0,5.0,4.0,4.0,5,yes,,3.0
75,egyptair,2018-01-18 00:09:00,True,"Jeddah to Mumbai via Cairo. This is happen while I was returning from hajj to Mumbai. We were having big aircraft from Saudi Arabia to Cairo. We had hold of around 12 hours in Cairo. We boarded in flight MS968, since most of passenger are Haji's, some fellow passengers identified the baggage were not loaded in the aircraft. We had raise the issue with the authorities and requested to load our baggage and zamzam boxes. We are told we will receive all our baggage and zamzam boxes in hours after landing Mumbai Airport. As expected our half baggage was missing and zamzam boxes were not there. We waited on airport for 4 hrs but baggage never came. The authorities in Mumbai than promise to deliver the baggage to home which I receive after 3 days. But for Zamzam boxes I am following up with authorities for past 12 days and they keep on inventing new reason every time. I am not sure where to escalate the issue. There are other 50 passengers who are suffering same fate.  Egypt Air authorities know this is every year issue but they just want to suffer the people. And don't want to take any action to improve there service. I am giving one star because they had flew us back to India. I am sure I will not recommend Egypt air to anybody. They completely ignore passengers grieves.",,Couple Leisure,Economy Class,Jeddah to Mumbai via Cairo,September 2018,1.0,,,1.0,1,no,,
76,egyptair,2018-01-26 00:08:00,True,"London to Cairo return. A much improved airline. Efficient boarding at both LHR and CAI with a welcome from the cabin crew. Flight Manager on both trips was friendly and business-like. Standard of food is also improving and certainly passable, but it is still a case of quantity rather than quality. Good to have announcements from the flight deck, even if only partially audible.",A330,Business,Business Class,London to Cairo,July 2018,4.0,4.0,4.0,4.0,4,yes,,4.0
77,egyptair,2018-01-03 00:08:00,True,"Dubai to Cairo return, price was very competitive and timings were more suitable for me. Both flights were on fairly new A330-300 cabin was clean seats are a bit stiff and not very comfortable, however crew were friendly and smiling both flights were on time and arrived ahead of schedule. But the downside is the cleanliness of toilets, it was horrible that I couldn’t use. Entertainment system is limited to older movies and not good selection food on both flights was exactly the same breakfast with a tasteless rubber omelette and a piece of falafel and a cheese roll not the best quality and no options or choices. Overall a satisfactory flight for this short sector and price paid.",A330,Family Leisure,Economy Class,Dubai to Cairo,July 2018,1.0,4.0,1.0,3.0,3,yes,,1.0
78,egyptair,2018-01-01 00:08:00,True,Athens to Johannesburg via Cairo. Very pleasant flight experience. Plane slightly dated without all the bells and whistles of Emirates. However crew very friendly and service on board great. The Purser in charge of our flight welcomed every one personally at their seat and apologized later in person for the delayed flight departure. Throughout the flight he  walked up and down aircraft to ensure all passengers were well looked after. Announcements were made clearly and audibly including those from the Captain. I have definitely seen a major improvement from our last flight with Egyptair. Well done and will  fly with you again.,A330-300,Business,Business Class,Athens to Johannesburg via Cairo,July 2018,5.0,5.0,4.0,5.0,5,yes,,4.0
79,egyptair,2018-01-23 00:07:00,True,"Unprofessional customer service. It started in Johannesburg when the airline refused the boarding due to a 24 hour stopover in Cairo. They wanted to see visas for Cairo. Very arrogant and unprofessional Manager refused to even make effort to explain. When we notify customer service in Dubai of the situation, they referred us to send it in an email. After 7 times of trying to get hold of an agent, finally they told us there is nothing they can do to help. Every time we were put on hold and then suddenly they cut of the line while we are still on the line waiting. Finally we were told to write a complaint in an email and then it will be reviewed.  We missed our flight at the end of the day and all they could say was write to us.",,Family Leisure,Economy Class,Johannesburg to Dubai via Cairo,July 2018,,,,1.0,1,no,,
